,q_1,q_2,q_3,q_4,q_5,q_6,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25,q_7,q_8
221,No,Non saprei,Quando mi capita,Introspettiva,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,3,Si,4,4,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
222,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,1,4,Si,2,3,Non saprei,Sono due concetti differenti,No,Femminile,31-50,Laurea magistrale,Sud e Isole,['Giornali'],['Non ho una passione per le stelle']
223,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,5,Si,3,2,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Le mie amiche']
224,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa e sono praticante,3,3,Si,2,1,Impotente,Sono concetti differenti a volte sovrapposti,No,Femminile,18-30,Diploma scuole medie,Nord Italia,['Blog specializzati'],['Le mie amiche']
225,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,1,5,Si,2,4,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],"['Non ho una passione per le stelle', ' Nessuno']"
226,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Introspettiva,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,2,4,Si,5,4,Più sicuro,Sono concetti differenti a volte sovrapposti,No,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Televisione'],['Non ho una passione per le stelle']
227,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,3,4,Si,3,4,Più sicuro,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea magistrale,Nord Italia,"['Social network', ' Televisione']",['Non ho una passione per le stelle']
228,Solo il sole (il segno),Non saprei,Quando mi capita,Ricreativa,Introspettiva,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,3,5,Si,3,3,Non saprei,Sono due concetti differenti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Nessuno']
229,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Mistica,Fin da piccolo/a,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,4,Si,3,3,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Maschile,18-30,Laurea Triennale,Nord Italia,"['Nessuna', ' Studio autonomamente testi del settore']",['Non ho una passione per le stelle']
230,No,Sono due cose diverse,Mai,Non hanno nessuna funzione,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,4,Si,5,5,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
231,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Predittiva del futuro,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa ma non sono praticante,2,4,Si,2,2,Impotente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Giornali'],['Non ho una passione per le stelle']
232,No,Non saprei,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,4,Si,2,2,Mi è indifferente,Sono due concetti differenti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
233,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Mistica,Fin da piccolo/a,Essere considerata come uno svago,1,1,Sono diverse,Non credo in nulla,2,4,Si,1,2,Impotente,Sono due concetti differenti,Non saprei,Femminile,<18,Laurea magistrale,Nord Italia,['Blog specializzati'],['Non ho una passione per le stelle']
234,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,2,4,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network']",['Pochi intimi (una persona di fiducia)']
235,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,3,Si,1,4,Più sicuro,Sono due concetti differenti,No,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
236,No,Condividono aspetti ma non sono la stessa cosa,Mai,Predittiva del futuro,Mistica,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,5,Si,1,1,Impotente,Sono due concetti differenti,No,Femminile,>50,Phd (above and beyond),Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
237,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Credo in una o più entità superiore/i,1,3,Si,3,3,Mi è indifferente,Sono due concetti differenti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Nessuno']
238,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Mistica,Ricreativa,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Ho una fede religiosa e sono praticante,2,4,Si,2,2,Impotente,Sono due concetti differenti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
239,Si,Condividono aspetti ma non sono la stessa cosa,Spesso,Introspettiva,Ricreativa,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,3,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,4,3,Si,3,3,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,['Blog specializzati'],"['La mia famiglia', ' I miei amici e le mie amiche', ' I social']"
240,Sole e ascendente,Non saprei,Mai,Introspettiva,Mistica,Mai,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa e sono praticante,3,1,Si,3,5,Non saprei,Ho cercato adesso su google,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
241,Solo il sole (il segno),Non saprei,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa e sono praticante,1,4,Si,1,1,Non saprei,Sono concetti differenti a volte sovrapposti,No,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Social network'],['Nessuno']
242,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Non hanno nessuna funzione,Ricreativa,Mai,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,5,Si,2,3,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
243,No,Non saprei,Quando mi capita,Introspettiva,Predittiva del futuro,In età adulta,Essere considerata da tutti in quanto estremamente importante,1,1,Sono la stessa cosa con punti di vista differenti,Credo in una o più entità superiore/i,5,3,Si,5,3,Mi è indifferente,Ho cercato adesso su google,Si,Femminile,31-50,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network']","['Pochi intimi (una persona di fiducia)', ' Le mie amiche', ' I social']"
244,No,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Ricreativa,Mai,Essere considerata come un punto di vista da tenere in considerazione,3,1,Non saprei,Credo in una o più entità superiore/i,2,4,Si,1,1,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network']",['Non ho una passione per le stelle']
245,Solo il sole (il segno),Non saprei,Mai,Non hanno nessuna funzione,Non hanno nessuna funzione,Mai,Essere trascurata in quanto inutile (a volte dannosa),1,1,Non saprei,Non credo in nulla,1,4,Si,3,2,Non saprei,Sono concetti differenti a volte sovrapposti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
246,Si,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Ricreativa,Introspettiva,Fin da piccolo/a,Essere considerata come un punto di vista da tenere in considerazione,2,1,Sono diverse con aspetti comuni,Credo in una o più entità superiore/i,5,3,Si,1,2,Mi è indifferente,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network', ' Studio autonomamente testi del settore']",['I miei amici e le mie amiche']
247,Solo il sole (il segno),Sono due cose diverse,Mai,Ricreativa,Non hanno nessuna funzione,Mai,Essere considerata come uno svago,1,1,Non saprei,Ho una fede religiosa ma non sono praticante,1,5,Si,2,2,Non saprei,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea magistrale,Centro italia,['Nessuna'],['Non ho una passione per le stelle']
248,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,4,2,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,3,4,Si,3,4,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,18-30,Laurea magistrale,Nord Italia,['Social network'],['Pochi intimi (una persona di fiducia)']
249,Sole e ascendente,Non saprei,Quando mi capita,Mistica,Ricreativa,In età adulta,Essere considerata come uno svago,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,2,4,Si,2,1,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Laurea magistrale,Sud e Isole,['Nessuna'],['Non ho una passione per le stelle']
250,Solo il sole (il segno),Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Non hanno nessuna funzione,In età adolescenziale,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Non credo in nulla,1,3,Si,3,3,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
251,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Regolarmente,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,2,1,Sono visioni mutualmente esclusive,Ho una fede religiosa e sono praticante,1,3,Si,1,2,Impotente,Sono concetti differenti a volte sovrapposti,A volte,Femminile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network', ' Televisione', ' Giornali']",['Le mie amiche']
252,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Spesso,Ricreativa,Introspettiva,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Non saprei,Ho una fede religiosa e sono praticante,4,3,Si,2,2,Impotente,Sono concetti differenti a volte sovrapposti,Non saprei,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Social network', ' Televisione']",['Non ho una passione per le stelle']
253,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Regolarmente,Predittiva del futuro,Introspettiva,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,3,3,Si,5,5,Più sicuro,Ho cercato adesso su google,Si,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network']","['La mia famiglia', ' Le mie amiche', ' I miei amici', ' I social']"
254,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Regolarmente,Predittiva del futuro,Introspettiva,In età adolescenziale,Essere considerata come un punto di vista da tenere in considerazione,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,3,3,Si,5,5,Più sicuro,Ho cercato adesso su google,Si,Femminile,18-30,Diploma scuola superiore,Nord Italia,"['Blog specializzati', ' Social network']","['La mia famiglia', ' Le mie amiche', ' I miei amici', ' I social']"
255,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Introspettiva,Mai,Essere considerata un'importante ma personale visione del mondo,1,1,Sono diverse,Credo in una o più entità superiore/i,4,4,Si,4,4,Più sicuro,Sono concetti differenti a volte sovrapposti,Dipende,Femminile,>50,Diploma scuola superiore,Nord Italia,['Nessuna'],['Nessuno']
256,Sole e ascendente,Condividono aspetti ma non sono la stessa cosa,Quando mi capita,Introspettiva,Predittiva del futuro,In età adolescenziale,Essere considerata come uno svago,2,1,Sono diverse,Ho una fede religiosa ma non sono praticante,1,4,Si,4,3,Più sicuro,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Laurea Triennale,Nord Italia,"['Blog specializzati', ' Social network']",['Pochi intimi (una persona di fiducia)']
257,No,Sono due cose diverse,Mai,Introspettiva,Ricreativa,Mai,Essere considerata da tutti in quanto estremamente importante,1,1,Sono diverse,Ho una fede religiosa ma non sono praticante,4,4,Si,3,4,Più sicuro,Sono due concetti differenti,No,Maschile,18-30,Laurea magistrale,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
258,Si,Sono due cose diverse,Quando mi capita,Introspettiva,Ricreativa,In età adolescenziale,Essere considerata un'importante ma personale visione del mondo,4,3,Non saprei,Non credo in nulla,2,3,Si,2,2,Non saprei,Sono concetti differenti a volte sovrapposti,A volte,Maschile,18-30,Laurea magistrale,Nord Italia,"['Blog specializzati', ' Social network', ' Studio autonomamente testi del settore']","['Pochi intimi (una persona di fiducia)', ' I miei amici e le mie amiche', ' I social']"
259,No,Condividono aspetti ma non sono la stessa cosa,Mai,Ricreativa,Mistica,Mai,Essere considerata come uno svago,1,1,Sono diverse con aspetti comuni,Ho una fede religiosa e sono praticante,1,3,Si,5,5,Impotente,Sono due concetti differenti,Dipende,Maschile,18-30,Diploma scuola superiore,Nord Italia,['Nessuna'],['Non ho una passione per le stelle']
